,setID,RepCount,isValid,removed,StartMessg,RepN,AvgVel,ROM,PeakVel,PeakVelLoc,PeakAccel,RepDur,TimeBWReps,TimeRepComp,TimeRepWait,SlowAllow,Backlight
147,042bf6e1-a9cd-42db-be95-6a5a04a9697c,26,True,False,-1234,3,0.6807005,629,1.306562,82,-9999,5,10,-9876,1004.064,689.0537,589.0494
149,04399287-9648-4db4-8911-1aad458bb946,1,True,False,-2345,1,0.1973732,401,0.2732366,38,-2121,2034149,3,1.551161e+09,0,130000,10000
150,04399287-9648-4db4-8911-1aad458bb946,2,True,False,-2345,2,0.1800256,401,0.2300758,20,-2121,2230804,0,1.559213e+09,0,130000,10000
151,043d5260-8228-4786-a977-6cf84760803f,0,True,False,-1234,1,0.75,536,1.39,74,-9999,5,10,-9876,1113.07,650.04,442.04
152,043d5260-8228-4786-a977-6cf84760803f,1,True,False,-1234,2,0.78,565,1.42,76,-9999,5,10,-9876,885.07,537.06,445.04
153,043d5260-8228-4786-a977-6cf84760803f,2,True,False,-1234,3,0.68,570,1.37,79,-9999,5,10,-9876,1117.09,592.06,476.05
154,043d5260-8228-4786-a977-6cf84760803f,3,True,False,-1234,4,0.77,576,1.44,80,-9999,5,10,-9876,958.08,576.06,448.05
155,043d5260-8228-4786-a977-6cf84760803f,4,True,False,-1234,5,0.76,592,1.41,79,-9999,5,10,-9876,949.08,555.06,463.05
156,043d5260-8228-4786-a977-6cf84760803f,5,True,False,-1234,6,0.76,578,1.4,81,-9999,5,10,-9876,964.08,592.06,512.05
157,043d5260-8228-4786-a977-6cf84760803f,6,True,False,-1234,7,0.74,576,1.4,75,-9999,5,10,-9876,940.08,589.06,473.05
158,043d5260-8228-4786-a977-6cf84760803f,7,True,False,-1234,8,0.73,586,1.43,78,-9999,5,10,-9876,1202.07,595.05,543.04
159,0453f8be-815f-4352-beb0-7b1510c54506,0,True,False,-2345,19,0.23,322,0.34,94,-2121,1389862,8,1481581440,0,130000,10000
160,0478e8e9-b9f8-4ec1-bc5c-cad4f6c63eef,0,True,False,-2345,31,0.34503,644,1.003306,88,-2121,1868225,3,1.173323e+09,0,130000,10000
161,04b7b6e4-96d0-45ad-813b-bf4496aea6bf,0,True,False,-2345,3,0.37,619,0.77,90,-2121,1669739,3,277328384,0,130000,10000
162,04bacfd7-b292-49de-8eae-a60ad95b4fc1,0,True,False,-2345,10,0.46,551,0.93,90,-2121,1192414,4,991826496,0,130000,10000
163,04bacfd7-b292-49de-8eae-a60ad95b4fc1,1,True,False,-2345,11,0.37,559,0.92,91,-2121,1531830,0,998565888,0,130000,10000
